City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
666,Yol,IN,79.12,clear sky,32.1667,76.2,Gopal Hotel & Restaurant - Best Restaurant in Kangra / Food Restaurant in Dharmashala / Food Junction in Dharamshala / Restaurant Near Me
670,Wahiawa,US,75.0,overcast clouds,21.5028,-158.0236,Aloha Wahiawa
671,Jucurutu,BR,74.43,broken clouds,-6.0339,-37.0203,Pousada Miike
672,Moranbah,AU,78.48,broken clouds,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
673,Fare,PF,82.69,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
676,Coron,PH,87.3,overcast clouds,11.9986,120.2043,Coron Westown Resort
677,Tingo Maria,PE,67.91,broken clouds,-9.2895,-76.0088,Hospedaje Paraíso
678,San Isidro,PE,70.0,clear sky,-12.1167,-77.05,Soul Mate-Inn
679,Japura,ID,78.82,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
681,Alvorada,BR,73.22,broken clouds,-12.48,-49.1247,Cristal Plaza Hotel
682,Kassala,SD,83.14,scattered clouds,15.450999999999999,36.4,Amassi Hotel Gash
685,Nacala,MZ,75.92,overcast clouds,-14.5428,40.6728,Nacala Plaza Business Design Hotel
687,Yenagoa,NG,78.39,broken clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
